"","name","found","family"
"406","caseariasp1","TRUE","Salicaceae"
"407","swartziasprf6494","TRUE","Fabaceae"
"408","psychotriasp3","TRUE","Rubiaceae"
"409","cecropiacftesmanii","TRUE","Urticaceae"
"410","moutaubeaaculeata","TRUE","Polygalaceae"
"411","guatteriasp2","TRUE","Annonaceae"
"412","ingasp9","TRUE","Fabaceae"
"413","bignoniaceaesp19","TRUE","Bignoniaceae"
"414","guatteriasp1","TRUE","Annonaceae"
"415","passiflorasp1","TRUE","Passifloraceae"
"416","tapiririaguianensis","TRUE","Anacardiaceae"
"417","capparissp","TRUE","Capparaceae"
"418","chrysophyllumsp1","TRUE","Sapotaceae"
"419","flacourtaceaesp2","TRUE","Salicaceae"
"420","markeasp1","TRUE","Solanaceae"
"421","caseariasp2","TRUE","Salicaceae"
"422","psychotriasp7","TRUE","Rubiaceae"
"423","araceae","TRUE","Araceae"
"424","bignoniaceaesp33","TRUE","Bignoniaceae"
"425","anthuriumgracile","TRUE","Araceae"
"426","arrabideasp","TRUE","Bignoniaceae"
"427","coccolobaperuviana","TRUE","Polygonaceae"
"428","acaciasp3","TRUE","Fabaceae"
"429","tapuraperuviana","TRUE","Dichapetalaceae"
"430","simaroubasp","TRUE","Simaroubaceae"
"431","annonaceaesp","TRUE","Annonaceae"
"432","bunchosiahookeriana","TRUE","Malpighiaceae"
"433","bignoniaceaesp6","TRUE","Bignoniaceae"
"434","bignoniaceaesp18","TRUE","Bignoniaceae"
"435","fevilleasp","TRUE","Cucurbitaceae"
"436","mascagniabenthamiana","TRUE","Malpighiaceae"
"437","guatteriasp4","TRUE","Annonaceae"
"438","ingasp2","TRUE","Fabaceae"
"439","jacarandacopaia","TRUE","Bignoniaceae"
"440","unonopsisfloribunda","TRUE","Annonaceae"
"441","guatteriasp","TRUE","Annonaceae"
"442","bignoniaceaesp12","TRUE","Bignoniaceae"
"443","bignoniaceaesp39","TRUE","Bignoniaceae"
"444","cissussp2","TRUE","Ulmaceae"
"445","bignoniaceaesp30","TRUE","Bignoniaceae"
"446","trichiliasp7","TRUE","Meliaceae"
"447","gnetumleyboldii","TRUE","Gnetaceae"
"448","combretumspgrande","TRUE","Combretaceae"
"449","acaciaspoval","TRUE","Fabaceae"
"450","byrsonimasp1","TRUE","Malpighiaceae"
"451","clavijasp1","TRUE","Primulaceae"
"452","mataybapurgans","TRUE","Sapindaceae"
"453","odontadeniasp1","TRUE","Apocynaceae"
"454","bignoniaceaesp56","TRUE","Bignoniaceae"
"455","bignoniaceaesp59","TRUE","Bignoniaceae"
"456","bignoniaceaesp13","TRUE","Bignoniaceae"
"457","cousareaflava","TRUE","Rubiaceae"
"458","prestoniasp","TRUE","Apocynaceae"
"459","bignoniaceaesp8","TRUE","Bignoniaceae"
"461","fabaceaesp3","TRUE","Fabaceae"
"462","simabasp1","TRUE","Simaroubaceae"
"463","myrtaceaesp","TRUE","Myrtaceae"
"464","protiumsp","TRUE","Burseraceae"
"465","aegiphilasp","TRUE","Verbenaceae"
"466","bignoniaceaesp25","TRUE","Bignoniaceae"
"467","bignoniaceaesp26","TRUE","Bignoniaceae"
"468","ingasp6","TRUE","Fabaceae"
"469","prestoniaplumerifolia","TRUE","Apocynaceae"
"470","ingasp10","TRUE","Fabaceae"
"471","solanumviridipes","TRUE","Solanaceae"
"472","siparunasp1","TRUE","Siparunaceae"
"473","calatolamicrocarpa","TRUE","Icacinaceae"
"474","guareasp","TRUE","Meliaceae"
"475","pouteriaboliviana","TRUE","Sapotaceae"
"476","triplarisamericana","TRUE","Polygonaceae"
"477","alibertiatutumilla","TRUE","Rubiaceae"
"478","bignoniaceaesp43","TRUE","Bignoniaceae"
"479","hiraeasp3","TRUE","Malpighiaceae"
"480","anthuriumsp","TRUE","Araceae"
"481","odontocaryasp1","TRUE","Menispermaceae"
"482","heliconiasp","TRUE","Heliconiaceae"
"483","connaraceaesp1","TRUE","Connaraceae"
"484","mataybasprf","TRUE","Sapindaceae"
"485","combretumspalas","TRUE","Combretaceae"
"486","hirtellaexcelsa","TRUE","Chrysobalanaceae"
"487","clavijaelliptica","TRUE","Primulaceae"
"489","bignoniaceaesp46","TRUE","Bignoniaceae"
"490","genipaamericana","TRUE","Rubiaceae"
"491","peritassasp","TRUE","Celastraceae"
"492","pterocarpusrohrii","TRUE","Fabaceae"
"493","sarcaulisbrasiliensis","TRUE","Sapotaceae"
"494","annonaceaesp3","TRUE","Annonaceae"
"495","minguartiaguianensis","TRUE","Olacaceae"
"496","ingasp12","TRUE","Fabaceae"
"497","bignoniaceaesp58","TRUE","Bignoniaceae"
"498","bignoniaceaesp10","TRUE","Bignoniaceae"
"499","trichiliaquadrijuga","TRUE","Meliaceae"
"500","ingaacrocephala","TRUE","Fabaceae"
"501","lacistemaagregatum","TRUE","Lacistemmaceae"
"502","securidaeavolubilis","TRUE","Polygalaceae"
"503","ingasp8","TRUE","Fabaceae"
"504","canavaliaeuricarpa","TRUE","Fabaceae"
"505","solanaceaesp","TRUE","Solanaceae"
"506","batocarpuscostarriscencis","TRUE","Moraceae"
"507","paulliniasp","TRUE","Sapindaceae"
"508","tabernaemontanapsychotrifolia","TRUE","Apocynaceae"
"509","adenocalymmasp","TRUE","Bignoniaceae"
"510","chamaeodorasp","TRUE","Arecaceae"
"511","cucurbitaceaesp2","TRUE","Cucurbitaceae"
"512","zingiberaceae","TRUE","Zingiberaceae"
"513","convolvulaceaesp","TRUE","Convolvulaceae"
"514","ipomoeaphyllomega","TRUE","Convolvulaceae"
"515","bignoniaceaesp7","TRUE","Bignoniaceae"
"516","lauraceaesp1","TRUE","Lauraceae"
"517","leguminosaesp1","TRUE","Fabaceae"
"518","bignoniaceaesp9","TRUE","Bignoniaceae"
"519","leguminosaesp2","TRUE","Fabaceae"
"520","aracaceae","TRUE","Arecaceae"
"521","virolasp2","TRUE","Myristicaceae"
"522","myrtaceaesp3","TRUE","Myrtaceae"
